MAC: FA:0C:C8:48:E6:6A , RSSI: -66 dBm, Major: 0001, Minor: 0002
,,,
,,,
MAC: EE:11:28:0E:61:39 , RSSI: -52 dBm, Major: 0001, Minor: 0002
MAC: E0:D9:DA:22:34:1B , RSSI: -64 dBm, Major: 0001, Minor: 0002
MAC: FA:0C:C8:48:E6:6A , RSSI: -58 dBm, Major: 0001, Minor: 0002
MAC: CC:88:63:2A:5A:D6 , RSSI: -76 dBm, Major: 0001, Minor: 0002
MAC: C5:0F:50:7A:9C:FE , RSSI: -84 dBm, Major: 0001, Minor: 0002
MAC: E9:F7:FE:7E:D0:48 , RSSI: -56 dBm, Major: 0001, Minor: 0002
MAC: CE:0E:9E:D9:8F:3B , RSSI: -58 dBm, Major: 0001, Minor: 0002end p37 cont
,,,
,,,
,,,
MAC: E9:F7:FE:7E:D0:48 , RSSI: -56 dBm, Major: 0001, Minor: 0002
MAC: CC:88:63:2A:5A:D6 , RSSI: -85 dBm, Major: 0001, Minor: 0002
MAC: EE:11:28:0E:61:39 , RSSI: -59 dBm, Major: 0001, Minor: 0002
MAC: E0:D9:DA:22:34:1B , RSSI: -73 dBm, Major: 0001, Minor: 0002
MAC: CE:0E:9E:D9:8F:3B , RSSI: -79 dBm, Major: 0001, Minor: 0002
MAC: FA:0C:C8:48:E6:6A , RSSI: -73 dBm, Major: 0001, Minor: 0002
,,,
,,,
MAC: CE:0E:9E:D9:8F:3B , RSSI: -58 dBm, Major: 0001, Minor: 0002
MAC: E0:D9:DA:22:34:1B , RSSI: -64 dBm, Major: 0001, Minor: 0002
MAC: FA:0C:C8:48:E6:6A , RSSI: -63 dBm, Major: 0001, Minor: 0002
MAC: F6:A0:DA:F5:E3:F3 , RSSI: -59 dBm, Major: 0001, Minor: 0002
MAC: EE:11:28:0E:61:39 , RSSI: -63 dBm, Major: 0001, Minor: 0002
MAC: C5:0F:50:7A:9C:FE , RSSI: -81 dBm, Major: 0001, Minor: 0002
MAC: CC:88:63:2A:5A:D6 , RSSI: -83 dBm, Major: 0001, Minor: 0002
,,,
,,,
MAC: E9:F7:FE:7E:D0:48 , RSSI: -61 dBm, Major: 0001, Minor: 0002
MAC: C5:0F:50:7A:9C:FE , RSSI: -82 dBm, Major: 0001, Minor: 0002
MAC: F6:A0:DA:F5:E3:F3 , RSSI: -52 dBm, Major: 0001, Minor: 0002
MAC: EE:11:28:0E:61:39 , RSSI: -57 dBm, Major: 0001, Minor: 0002
MAC: E0:D9:DA:22:34:1B , RSSI: -64 dBm, Major: 0001, Minor: 0002
MAC: FA:0C:C8:48:E6:6A , RSSI: -58 dBm, Major: 0001, Minor: 0002
MAC: CC:88:63:2A:5A:D6 , RSSI: -77 dBm, Major: 0001, Minor: 0002
,,,
,,,
