f3:45:89:ef:19:1e ,-60
e8:ba:41:56:8d:9e ,-55
c3:d7:59:ef:38:2e ,-66
fd:cc:03:3b:fb:50 ,-49

e8:ba:41:56:8d:9e ,-60
c3:d7:59:ef:38:2e ,-62
fd:cc:03:3b:fb:50 ,-50
f3:45:89:ef:19:1e ,-60

fd:cc:03:3b:fb:50 ,-51
c3:d7:59:ef:38:2e ,-63
f3:45:89:ef:19:1e ,-60
e8:ba:41:56:8d:9e ,-57

fd:cc:03:3b:fb:50 ,-51
f3:45:89:ef:19:1e ,-59
e8:ba:41:56:8d:9e ,-58
c3:d7:59:ef:38:2e ,-63

f3:45:89:ef:19:1e ,-65
e8:ba:41:56:8d:9e ,-58
c3:d7:59:ef:38:2e ,-63
fd:cc:03:3b:fb:50 ,-49

e8:ba:41:56:8d:9e ,-56
c3:d7:59:ef:38:2e ,-67
f3:45:89:ef:19:1e ,-58
fd:cc:03:3b:fb:50 ,-51

c3:d7:59:ef:38:2e ,-63
f3:45:89:ef:19:1e ,-58
fd:cc:03:3b:fb:50 ,-51
e8:ba:41:56:8d:9e ,-60

e8:ba:41:56:8d:9e ,-57
c3:d7:59:ef:38:2e ,-65
f3:45:89:ef:19:1e ,-69
fd:cc:03:3b:fb:50 ,-52

f3:45:89:ef:19:1e ,-66
e8:ba:41:56:8d:9e ,-61
c3:d7:59:ef:38:2e ,-63
fd:cc:03:3b:fb:50 ,-47

fd:cc:03:3b:fb:50 ,-48
f3:45:89:ef:19:1e ,-69
e8:ba:41:56:8d:9e ,-61
c3:d7:59:ef:38:2e ,-63

e8:ba:41:56:8d:9e ,-60
c3:d7:59:ef:38:2e ,-65
fd:cc:03:3b:fb:50 ,-48
f3:45:89:ef:19:1e ,-68

e8:ba:41:56:8d:9e ,-58
f3:45:89:ef:19:1e ,-69
fd:cc:03:3b:fb:50 ,-50
c3:d7:59:ef:38:2e ,-66

e8:ba:41:56:8d:9e ,-62
c3:d7:59:ef:38:2e ,-65
fd:cc:03:3b:fb:50 ,-50
f3:45:89:ef:19:1e ,-68

fd:cc:03:3b:fb:50 ,-48
c3:d7:59:ef:38:2e ,-62
f3:45:89:ef:19:1e ,-68
e8:ba:41:56:8d:9e ,-62

fd:cc:03:3b:fb:50 ,-51
f3:45:89:ef:19:1e ,-69
e8:ba:41:56:8d:9e ,-59
c3:d7:59:ef:38:2e ,-65

fd:cc:03:3b:fb:50 ,-48
f3:45:89:ef:19:1e ,-72
e8:ba:41:56:8d:9e ,-57
c3:d7:59:ef:38:2e ,-70

f3:45:89:ef:19:1e ,-72
e8:ba:41:56:8d:9e ,-63
c3:d7:59:ef:38:2e ,-61
fd:cc:03:3b:fb:50 ,-50

f3:45:89:ef:19:1e ,-67
e8:ba:41:56:8d:9e ,-59
fd:cc:03:3b:fb:50 ,-50
c3:d7:59:ef:38:2e ,-64

f3:45:89:ef:19:1e ,-67
e8:ba:41:56:8d:9e ,-62
c3:d7:59:ef:38:2e ,-61
fd:cc:03:3b:fb:50 ,-49

f3:45:89:ef:19:1e ,-67
e8:ba:41:56:8d:9e ,-62
c3:d7:59:ef:38:2e ,-64
fd:cc:03:3b:fb:50 ,-48

f3:45:89:ef:19:1e ,-66
e8:ba:41:56:8d:9e ,-56
fd:cc:03:3b:fb:50 ,-52
c3:d7:59:ef:38:2e ,-66

f3:45:89:ef:19:1e ,-72
e8:ba:41:56:8d:9e ,-58
c3:d7:59:ef:38:2e ,-66
fd:cc:03:3b:fb:50 ,-51

